GeneID	ReadLen70
chr1.34326075.34330392.NM_145205.+	100
chr1.33797993.33798093.NR_037400.-	100
chr1.33360195.33366953.NM_033504.-	100
chr1.33352097.33360247.NM_002143.+	100
chr1.33327868.33336414.NM_001171940.-	96.1779
chr1.33231234.33240571.NM_001198973.+	98.3815
chr1.32827861.32829924.NM_052841.+	100
chr1.32799439.32801834.NM_023009.-	100
chr1.32712817.32714461.NM_032648.+	100
chr1.32687970.32697205.NM_003757.+	90.8139
chr1.32671235.32674288.NM_001160042.+	98.559
chr1.32666201.32670991.NM_024296.+	99.4705
chr1.32224260.32224336.NR_036216.-	100
chr1.32083300.32092919.NM_001525.+	99.1623
chr1.31984035.31989846.NR_027085.+	94.9495
chr1.31971838.31974167.NR_034112.+	100
chr1.31838099.31845923.NM_004102.-	99.7679
chr1.31191618.31199593.NR_034182.+	100
chr1.28421445.28423069.NR_027268.-	100
chr1.12907235.12908237.NM_001146181.-	18.6495
chr1.12884467.12891264.NM_001146344.-	17.5832
chr1.11873.14408.NR_046018.+	100
chr1.12834983.12838048.NM_001080830.+	91.8224
chr1.12251761.12251839.NR_039775.+	100
chr1.11979644.11986485.NM_138346.-	97.1057
chr1.12567299.12567451.NR_003025.+	100
chr1.12907260.12908578.NM_001013631.-	27.2218
chr1.11734536.11741271.NM_006341.-	93.1593
chr1.15764937.15773153.NM_007272.+	97.8274
chr1.11714431.11723384.NM_183412.+	93.3701
chr1.32674694.32681797.NM_001099434.+	91.7117
chr1.1309109.1310580.NM_001127229.-	100
chr1.9712667.9714644.NR_027045.-	100
chr1.9211726.9211836.NR_029610.-	100
chr1.34610.36081.NR_026818.-	99.786
chr1.1334909.1337426.NR_015434.+	100
chr1.7907671.7913551.NM_021995.-	96.4378
chr1.6640062.6649340.NM_005341.+	96.9921
chr1.31441009.31441084.NR_003066.-	100
chr1.12916940.12921764.NM_023014.+	35.0368
chr1.26226606.26233368.NM_203399.-	99.1185
chr1.26226606.26232993.NM_005563.-	99.0662
chr1.6524170.6526255.NM_001039664.-	100
chr1.2976180.2984289.NR_015440.-	100
chr1.12998301.13007406.NM_001010889.-	0.586543
chr1.28832454.28837404.NR_036473.+	98.1766
chr1.6521213.6526255.NM_003790.-	96.7625
chr1.23189651.23189719.NR_036214.-	100
chr1.6475293.6479979.NM_019089.-	96.5995
chr1.6304251.6305638.NM_001024598.+	100
chr1.5624130.5624203.NR_039612.+	100
chr1.31460911.31461481.NR_002762.+	100
chr1.12939032.12946025.NM_001009611.-	8.17447
chr1.3689351.3692546.NM_001163724.+	100
chr1.3541555.3546694.NM_182752.+	98.0868
chr1.8938893.8939943.NR_038351.+	100
chr1.3477259.3477354.NR_030277.-	100
chr1.1849028.1850740.NM_178545.-	100
chr1.2518188.2522908.NM_001195738.+	100
chr1.19609056.19615280.NM_012067.-	64.1755
chr1.2517898.2522908.NR_036638.+	100
chr1.26606212.26608013.NM_031286.+	100
chr1.2481358.2484284.NR_026927.-	32.5866
chr1.2460183.2461684.NM_001010926.-	100
chr1.1361507.1363167.NM_001146685.+	100
chr1.2336240.2344010.NM_153818.-	99.13
chr1.27320194.27327377.NM_001013642.+	98.9598
chr1.1177825.1182102.NM_001014980.-	100
chr1.23337326.23342343.NM_001242521.-	93.6742
chr1.1072396.1079434.NR_038869.+	71.9902
chr1.24822822.24828850.NR_045409.-	94.63
chr1.910578.917473.NR_027693.-	86.9323
chr1.32826870.32827844.NM_001167676.-	100
chr1.803450.812182.NR_027055.-	85.7555
chr1.1370902.1378262.NM_022834.+	100
chr1.1007125.1009687.NM_001205252.-	100
chr1.15986363.15988217.NM_006511.+	100
chr1.22970117.22974603.NM_172369.+	100
chr1.1103242.1103332.NR_029834.+	100
chr1.11249397.11256038.NM_021146.+	98.7219
chr1.20301923.20306932.NM_001161728.-	100
chr1.26798901.26803133.NM_005517.+	86.4761
chr1.934341.935552.NM_021170.-	100
chr1.2487207.2488450.NR_037844.-	100
chr1.134772.140566.NR_039983.-	1.869
chr1.27189632.27190947.NM_006142.+	100
chr1.1243993.1247057.NM_153339.+	99.0651
chr1.1568158.1570027.NR_002946.+	3.16667
chr1.934343.935552.NM_001142467.-	100
chr1.29445936.29450421.NM_001003682.-	100
chr1.761585.762902.NR_024321.-	100
chr1.6684924.6693642.NM_001195753.+	96.1845
chr1.1146705.1149548.NM_003327.-	100
chr1.28905254.28905334.NR_003077.-	100
chr1.1288070.1293915.NM_032348.-	99.2209
chr1.27331510.27339333.NM_052943.-	98.6717
chr1.2120987.2126214.NM_182533.-	98.1776
chr1.28906275.28906405.NR_002987.-	100
chr1.12851545.12856777.NM_023013.+	24.3269
chr1.16558181.16563659.NM_030907.-	94.6201
chr1.7907671.7913104.NM_006786.-	96.1409
chr1.3044538.3044599.NR_036215.+	100
chr1.1104384.1104467.NR_029957.+	100
chr1.1682670.1690081.NM_001198995.-	86.2844
chr1.23884420.23886285.NM_002167.-	100
chr1.26881032.26881084.NR_031740.+	100
chr1.1567559.1570030.NM_006983.+	13.8218
chr1.2980635.2984289.NR_024371.-	100
chr1.895966.901099.NM_198317.+	96.3073
chr1.2487804.2495267.NM_003820.+	100
chr1.29445936.29449013.NM_001171868.-	100
chr1.11104854.11107296.NM_139208.-	99.9157
chr1.1309109.1310818.NM_017900.-	100
chr1.2281852.2284100.NR_024489.-	100
chr1.31212002.31212079.NR_039616.-	100
chr1.11714913.11723384.NM_033182.+	92.9898
chr1.24122088.24126060.NM_001127621.-	99.0264
chr1.1337275.1342693.NM_017971.-	91.905
chr1.1138887.1142089.NM_004195.-	100
chr1.26644410.26647014.NM_001803.+	89.6252
chr1.2938045.2939467.NM_080431.+	100
chr1.1266725.1269844.NM_152228.+	100
chr1.1470157.1475740.NM_001114748.-	100
chr1.26496387.26497364.NM_015871.+	100
chr1.11917520.11918992.NM_002521.-	100
chr1.32043745.32053287.NM_001204415.+	93.5712
chr1.11900375.11907673.NR_037806.+	93.8027
chr1.27650364.27653016.NR_033926.+	90.6698
chr1.20825940.20834674.NM_024544.-	97.6111
chr1.1353799.1356824.NM_001145210.-	96.2449
chr1.11708417.11714888.NM_012168.-	99.4533
chr1.16068916.16074477.NM_001013641.+	96.1945
chr1.19629201.19638640.NM_003689.-	92.2625
chr1.1167628.1170420.NM_080605.+	100
chr1.1533387.1535476.NM_001242659.-	100
chr1.852952.854817.NR_026874.-	100
chr1.1260142.1264276.NM_001029885.+	100
chr1.69090.70008.NM_001005484.+	100
chr1.1631377.1633247.NR_002946.+	3.22043
chr1.1115076.1121243.NM_153254.+	95.7035
chr1.1846265.1848733.NM_138705.+	100
chr1.13108513.13117751.NM_001013407.-	0.327189
chr1.28562601.28564616.NM_178190.+	100
chr1.13182959.13184326.NM_001136561.-	27.3498
chr1.28919006.28921088.NM_001193532.+	89.3691
chr1.1102483.1102578.NR_029639.+	100
chr1.13521962.13526943.NM_001100114.+	1.36401
chr1.19592475.19600568.NR_040288.-	69.5414
chr1.28918711.28921088.NM_152304.+	90.7279
chr1.28905049.28908366.NR_024127.-	99.7537
chr1.13716087.13719064.NM_001099851.+	0.0687758
chr1.13742801.13747803.NM_001100114.+	1.17576
chr1.16340522.16345285.NM_014424.-	100
chr1.16062808.16067884.NM_207348.+	97.6034
chr1.16133656.16134194.NM_001089591.-	52.6652
chr1.11905766.11907840.NM_006172.-	84.6883
chr1.323891.328581.NR_028327.+	0.541008
chr1.16375283.16383803.NM_001165945.+	74.8077
chr1.1309110.1310562.NM_001127230.-	100
chr1.16972068.16976915.NR_027504.+	15.4039
chr1.24104875.24114722.NM_020362.+	92.5343
chr1.27992571.27998724.NM_002038.-	95.973
chr1.17300998.17307173.NM_001135248.-	91.4183
chr1.1327667.1334718.NM_001039577.-	93.3114
chr1.17300998.17308081.NM_001135247.-	92.5292
chr1.948846.949919.NM_005101.+	100
chr1.18807423.18812480.NM_152375.+	99.6391
chr1.22351706.22357715.NR_023918.+	93.9562
chr1.19209687.19209774.NR_039844.-	100
chr1.26364513.26372604.NM_032513.-	98.367
chr1.19578074.19586622.NM_016183.+	98.6909
chr1.19619740.19622230.NR_037847.-	99.05
chr1.20140521.20141771.NM_019062.-	100
chr1.20246799.20250110.NM_014589.-	100
chr1.20301923.20306152.NM_001161729.-	100
chr1.20438433.20446008.NM_012400.-	99.0674
chr1.6685209.6693642.NM_001195752.+	96.0545
chr1.20878931.20881513.NM_207334.+	100
chr1.20512577.20519942.NM_152376.+	100
chr1.20808883.20812728.NM_018584.-	100
chr1.27216978.27226962.NM_022078.-	93.2426
chr1.20978259.20988037.NM_005216.-	97.7444
chr1.10509775.10512060.NM_001302.+	100
chr1.21619782.21626362.NR_038404.+	98.756
chr1.22352041.22357715.NR_023919.+	93.595
chr1.22963117.22966175.NM_015991.+	100
chr1.22979681.22988029.NM_000491.+	99.7826
chr1.23695463.23698330.NR_033690.+	100
chr1.32681797.32687926.NM_019118.-	94.9175
chr1.23046009.23046091.NR_039832.+	100
chr1.5922731.5922801.NR_039838.-	100
chr1.28160911.28161077.NR_002997.+	100
chr1.23370797.23370865.NR_036057.+	100
chr1.23518387.23521222.NM_000864.-	98.9877
chr1.11114648.11120091.NM_003132.-	95.6829
chr1.23685940.23694879.NM_030634.-	96.5614
chr1.23695710.23698330.NR_033691.+	100
chr1.24018268.24022915.NM_000975.+	100
chr1.24117645.24122029.NM_007260.+	100
chr1.16330730.16333184.NM_178840.+	95.5136
chr1.24122088.24127034.NM_000403.-	99.2208
chr1.17081400.17090975.NR_002729.-	13.1496
chr1.24122088.24127294.NM_001008216.-	99.2603
chr1.24255559.24255637.NR_039615.+	100
chr1.24286300.24289949.NM_017761.+	46.1173
chr1.26146444.26150097.NR_024498.-	93.7779
chr1.26187974.26197744.NM_178422.-	92.2482
chr1.17185443.17185516.NR_037446.-	100
chr1.26226606.26232644.NM_203401.-	99.0116
chr1.26232852.26232945.NR_037481.-	100
chr1.28655512.28662478.NM_017638.+	90.7931
chr1.901876.910484.NM_001160184.+	98.1145
chr1.26485510.26489119.NM_024869.+	99.096
chr1.27237974.27240567.NM_021969.-	98.5341
chr1.25568739.25573985.NM_020317.-	99.5171
chr1.27695600.27701315.NM_173452.-	92.9685
chr1.27719151.27722317.NM_005281.+	100
chr1.28286503.28294604.NM_018053.+	99.4771
chr1.28906892.28907024.NR_002976.-	100
chr1.13495253.13498259.NM_001045480.+	1.0555
chr1.28907431.28907565.NR_003035.-	100
chr1.27705595.27709805.NM_207397.-	100
chr1.28975111.28975246.NR_004407.+	100
