GeneID	ReadLen50
chr1.34326075.34330392.NM_145205.+	99.4142
chr1.33797993.33798093.NR_037400.-	100
chr1.33360195.33366953.NM_033504.-	99.7019
chr1.33352097.33360247.NM_002143.+	100
chr1.33327868.33336414.NM_001171940.-	93.5624
chr1.33231234.33240571.NM_001198973.+	96.5224
chr1.32827861.32829924.NM_052841.+	100
chr1.32799439.32801834.NM_023009.-	100
chr1.32712817.32714461.NM_032648.+	100
chr1.32687970.32697205.NM_003757.+	75.6913
chr1.32671235.32674288.NM_001160042.+	95.0732
chr1.32666201.32670991.NM_024296.+	94.1995
chr1.32224260.32224336.NR_036216.-	100
chr1.32083300.32092919.NM_001525.+	98.0146
chr1.31984035.31989846.NR_027085.+	82.0028
chr1.31971838.31974167.NR_034112.+	100
chr1.31838099.31845923.NM_004102.-	97.7235
chr1.28421445.28423069.NR_027268.-	100
chr1.12907235.12908237.NM_001146181.-	13.0115
chr1.12884467.12891264.NM_001146344.-	9.83995
chr1.11873.14408.NR_046018.+	100
chr1.12834983.12838048.NM_001080830.+	82.1286
chr1.12251761.12251839.NR_039775.+	100
chr1.11979644.11986485.NM_138346.-	93.0948
chr1.12567299.12567451.NR_003025.+	100
chr1.12907260.12908578.NM_001013631.-	17.2577
chr1.11734536.11741271.NM_006341.-	85.0583
chr1.15764937.15773153.NM_007272.+	91.1106
chr1.11714431.11723384.NM_183412.+	83.5243
chr1.32674694.32681797.NM_001099434.+	79.1466
chr1.1309109.1310580.NM_001127229.-	100
chr1.9712667.9714644.NR_027045.-	100
chr1.9211726.9211836.NR_029610.-	100
chr1.34610.36081.NR_026818.-	94.6554
chr1.1334909.1337426.NR_015434.+	100
chr1.7907671.7913551.NM_021995.-	88.2524
chr1.6640062.6649340.NM_005341.+	90.3456
chr1.31441009.31441084.NR_003066.-	100
chr1.12916940.12921764.NM_023014.+	22.7435
chr1.26226606.26233368.NM_203399.-	97.3633
chr1.26226606.26232993.NM_005563.-	97.2073
chr1.6524170.6526255.NM_001039664.-	100
chr1.12998301.13007406.NM_001010889.-	0.364399
chr1.2976180.2984289.NR_015440.-	100
chr1.28832454.28837404.NR_036473.+	90.4917
chr1.6521213.6526255.NM_003790.-	94.1318
chr1.23189651.23189719.NR_036214.-	100
chr1.6475293.6479979.NM_019089.-	93.9616
chr1.6304251.6305638.NM_001024598.+	100
chr1.5624130.5624203.NR_039612.+	100
chr1.31460911.31461481.NR_002762.+	100
chr1.12939032.12946025.NM_001009611.-	4.7235
chr1.3689351.3692546.NM_001163724.+	100
chr1.3541555.3546694.NM_182752.+	93.7328
chr1.8938893.8939943.NR_038351.+	100
chr1.3477259.3477354.NR_030277.-	100
chr1.1849028.1850740.NM_178545.-	100
chr1.2518188.2522908.NM_001195738.+	100
chr1.19609056.19615280.NM_012067.-	50.413
chr1.2517898.2522908.NR_036638.+	100
chr1.26606212.26608013.NM_031286.+	100
chr1.2481358.2484284.NR_026927.-	24.8523
chr1.2460183.2461684.NM_001010926.-	100
chr1.1361507.1363167.NM_001146685.+	98.8827
chr1.2336240.2344010.NM_153818.-	96.7103
chr1.27320194.27327377.NM_001013642.+	94.2248
chr1.1177825.1182102.NM_001014980.-	98.1079
chr1.23337326.23342343.NM_001242521.-	80.475
chr1.1072396.1079434.NR_038869.+	68.1786
chr1.24822822.24828850.NR_045409.-	88.9446
chr1.1370902.1378262.NM_022834.+	100
chr1.1007125.1009687.NM_001205252.-	100
chr1.15986363.15988217.NM_006511.+	100
chr1.22970117.22974603.NM_172369.+	100
chr1.1103242.1103332.NR_029834.+	100
chr1.11249397.11256038.NM_021146.+	96.3441
chr1.20301923.20306932.NM_001161728.-	100
chr1.26798901.26803133.NM_005517.+	82.2854
chr1.934341.935552.NM_021170.-	100
chr1.32826870.32827844.NM_001167676.-	100
chr1.803450.812182.NR_027055.-	74.0988
chr1.910578.917473.NR_027693.-	81.6681
chr1.2487207.2488450.NR_037844.-	100
chr1.134772.140566.NR_039983.-	0.574413
chr1.27189632.27190947.NM_006142.+	100
chr1.1243993.1247057.NM_153339.+	97.5456
chr1.1568158.1570027.NR_002946.+	2.03297
chr1.934343.935552.NM_001142467.-	100
chr1.29445936.29450421.NM_001003682.-	100
chr1.761585.762902.NR_024321.-	100
chr1.6684924.6693642.NM_001195753.+	84.5542
chr1.1146705.1149548.NM_003327.-	100
chr1.28905254.28905334.NR_003077.-	100
chr1.1288070.1293915.NM_032348.-	97.4465
chr1.27331510.27339333.NM_052943.-	96.1796
chr1.2120987.2126214.NM_182533.-	95.056
chr1.28906275.28906405.NR_002987.-	100
chr1.12851545.12856777.NM_023013.+	15.3579
chr1.16558181.16563659.NM_030907.-	88.9667
chr1.7907671.7913104.NM_006786.-	87.2771
chr1.3044538.3044599.NR_036215.+	100
chr1.1104384.1104467.NR_029957.+	100
chr1.1682670.1690081.NM_001198995.-	84.5151
chr1.23884420.23886285.NM_002167.-	100
chr1.26881032.26881084.NR_031740.+	100
chr1.1567559.1570030.NM_006983.+	12.8819
chr1.2980635.2984289.NR_024371.-	100
chr1.895966.901099.NM_198317.+	95.9284
chr1.2487804.2495267.NM_003820.+	99.5414
chr1.29445936.29449013.NM_001171868.-	100
chr1.11104854.11107296.NM_139208.-	94.6929
chr1.1309109.1310818.NM_017900.-	100
chr1.1337275.1342693.NM_017971.-	80.2943
chr1.1138887.1142089.NM_004195.-	100
chr1.26644410.26647014.NM_001803.+	80.7045
chr1.2281852.2284100.NR_024489.-	100
chr1.31212002.31212079.NR_039616.-	100
chr1.11714913.11723384.NM_033182.+	82.5813
chr1.24122088.24126060.NM_001127621.-	95.5901
chr1.2938045.2939467.NM_080431.+	100
chr1.1266725.1269844.NM_152228.+	100
chr1.1470157.1475740.NM_001114748.-	99.6025
chr1.26496387.26497364.NM_015871.+	100
chr1.11917520.11918992.NM_002521.-	100
chr1.32043745.32053287.NM_001204415.+	89.7819
chr1.11900375.11907673.NR_037806.+	89.0606
chr1.27650364.27653016.NR_033926.+	82.2897
chr1.20825940.20834674.NM_024544.-	91.4335
chr1.1353799.1356824.NM_001145210.-	91.0618
chr1.11708417.11714888.NM_012168.-	98.038
chr1.16068916.16074477.NM_001013641.+	85.5406
chr1.19629201.19638640.NM_003689.-	85.4633
chr1.1167628.1170420.NM_080605.+	100
chr1.1533387.1535476.NM_001242659.-	100
chr1.852952.854817.NR_026874.-	100
chr1.1260142.1264276.NM_001029885.+	100
chr1.69090.70008.NM_001005484.+	100
chr1.1631377.1633247.NR_002946.+	2.08677
chr1.1115076.1121243.NM_153254.+	95.3907
chr1.1846265.1848733.NM_138705.+	100
chr1.13108513.13117751.NM_001013407.-	0.108826
chr1.28562601.28564616.NM_178190.+	100
chr1.13182959.13184326.NM_001136561.-	16.1608
chr1.28919006.28921088.NM_001193532.+	81.0625
chr1.1102483.1102578.NR_029639.+	100
chr1.13521962.13526943.NM_001100114.+	0.52717
chr1.19592475.19600568.NR_040288.-	56.3526
chr1.28918711.28921088.NM_152304.+	83.4622
chr1.28905049.28908366.NR_024127.-	93.2987
chr1.13716087.13719064.NM_001099851.+	0.068306
chr1.13742801.13747803.NM_001100114.+	0.524934
chr1.16340522.16345285.NM_014424.-	100
chr1.16062808.16067884.NM_207348.+	89.1585
chr1.16133656.16134194.NM_001089591.-	35.9918
chr1.11905766.11907840.NM_006172.-	76.642
chr1.16375283.16383803.NM_001165945.+	66.3322
chr1.1309110.1310562.NM_001127230.-	100
chr1.16972068.16976915.NR_027504.+	8.69112
chr1.24104875.24114722.NM_020362.+	82.2617
chr1.27992571.27998724.NM_002038.-	89.1219
chr1.17300998.17307173.NM_001135248.-	90.9892
chr1.1327667.1334718.NM_001039577.-	80.0343
chr1.17300998.17308081.NM_001135247.-	92.1524
chr1.948846.949919.NM_005101.+	100
chr1.18807423.18812480.NM_152375.+	98.4026
chr1.22351706.22357715.NR_023918.+	85.1174
chr1.19209687.19209774.NR_039844.-	100
chr1.26364513.26372604.NM_032513.-	96.1701
chr1.19578074.19586622.NM_016183.+	93.2463
chr1.19619740.19622230.NR_037847.-	94.5104
chr1.20140521.20141771.NM_019062.-	100
chr1.20246799.20250110.NM_014589.-	100
chr1.20301923.20306152.NM_001161729.-	100
chr1.20438433.20446008.NM_012400.-	95.9208
chr1.6685209.6693642.NM_001195752.+	84.0291
chr1.20878931.20881513.NM_207334.+	100
chr1.20512577.20519942.NM_152376.+	99.6446
chr1.20808883.20812728.NM_018584.-	99.9473
chr1.27216978.27226962.NM_022078.-	84.1872
chr1.20978259.20988037.NM_005216.-	94.2954
chr1.10509775.10512060.NM_001302.+	100
chr1.21619782.21626362.NR_038404.+	96.4324
chr1.22352041.22357715.NR_023919.+	84.2311
chr1.22963117.22966175.NM_015991.+	100
chr1.22979681.22988029.NM_000491.+	98.2649
chr1.23695463.23698330.NR_033690.+	100
chr1.32681797.32687926.NM_019118.-	85.8717
chr1.23046009.23046091.NR_039832.+	100
chr1.5922731.5922801.NR_039838.-	100
chr1.28160911.28161077.NR_002997.+	100
chr1.23370797.23370865.NR_036057.+	100
chr1.23518387.23521222.NM_000864.-	94.9031
chr1.11114648.11120091.NM_003132.-	86.244
chr1.23685940.23694879.NM_030634.-	90.5512
chr1.23695710.23698330.NR_033691.+	100
chr1.24018268.24022915.NM_000975.+	98.8908
